step,energy,energy_drive,novelty,novelty_drive,safety,safety_drive,visited,exploration_pct
1,0.797,0.0,0.9966666666666667,0.19666666666666666,0.0,0.0,1,0.3
2,0.794,0.0,0.9966666666666667,0.19666666666666666,0.0,0.0,1,0.3
3,0.791,0.0,0.9933333333333333,0.19333333333333325,0.0,0.0,2,0.7
4,0.788,0.0,0.9933333333333333,0.19333333333333325,0.0,0.0,2,0.7
5,0.785,0.0,0.99,0.18999999999999995,0.0,0.0,3,1.0
6,0.782,0.0,0.99,0.18999999999999995,0.0,0.0,3,1.0
7,0.779,0.0,0.9866666666666667,0.18666666666666665,0.0,0.0,4,1.3
8,0.776,0.0,0.9866666666666667,0.18666666666666665,0.0,0.0,4,1.3
9,0.773,0.0,0.9866666666666667,0.18666666666666665,0.0,0.0,4,1.3
10,0.77,0.0,0.9866666666666667,0.18666666666666665,0.0,0.0,4,1.3
11,0.767,0.0,0.9833333333333333,0.18333333333333324,0.0,0.0,5,1.7
12,0.764,0.0,0.9833333333333333,0.18333333333333324,0.0,0.0,5,1.7
13,0.761,0.0,0.9833333333333333,0.18333333333333324,0.0,0.0,5,1.7
14,0.758,0.0,0.9833333333333333,0.18333333333333324,0.0,0.0,5,1.7
15,0.755,0.0,0.9833333333333333,0.18333333333333324,0.0,0.0,5,1.7
16,0.752,0.0,0.9833333333333333,0.18333333333333324,0.0,0.0,5,1.7
17,0.749,0.0,0.98,0.17999999999999994,0.0,0.0,6,2.0
18,0.746,0.0,0.9766666666666667,0.17666666666666664,0.0,0.0,7,2.3
19,0.743,0.0,0.9766666666666667,0.17666666666666664,0.0,0.0,7,2.3
20,0.74,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
21,0.737,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
22,0.734,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
23,0.731,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
24,0.728,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
25,0.725,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
26,0.722,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
27,0.719,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
28,0.716,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
29,0.713,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
30,0.71,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
31,0.707,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
32,0.704,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
33,0.701,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
34,0.698,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
35,0.695,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
36,0.692,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
37,0.689,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
38,0.6859999999999999,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
39,0.6829999999999999,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
40,0.6799999999999999,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
41,0.6769999999999999,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
42,0.6739999999999999,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
43,0.6709999999999999,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
44,0.6679999999999999,0.0,0.9733333333333334,0.17333333333333334,0.0,0.0,8,2.7
45,0.6649999999999999,0.0,0.97,0.16999999999999993,0.0,0.0,9,3.0
46,0.6619999999999999,0.0,0.97,0.16999999999999993,0.0,0.0,9,3.0
47,0.6589999999999999,0.0,0.9666666666666667,0.16666666666666663,0.0,0.0,10,3.3
48,0.6559999999999999,0.0,0.9666666666666667,0.16666666666666663,0.0,0.0,10,3.3
49,0.6529999999999999,0.0,0.9666666666666667,0.16666666666666663,0.0,0.0,10,3.3
50,0.6499999999999999,0.0,0.9666666666666667,0.16666666666666663,0.0,0.0,10,3.3
51,0.6469999999999999,0.0,0.9666666666666667,0.16666666666666663,0.0,0.0,10,3.3
52,0.6439999999999999,0.0,0.9633333333333334,0.16333333333333333,0.0,0.0,11,3.7
53,0.6409999999999999,0.0,0.96,0.15999999999999992,0.0,0.0,12,4.0
54,0.6379999999999999,0.0,0.96,0.15999999999999992,0.0,0.0,12,4.0
55,0.6349999999999999,0.0,0.96,0.15999999999999992,0.0,0.0,12,4.0
56,0.6319999999999999,0.0,0.9566666666666667,0.15666666666666662,0.0,0.0,13,4.3
57,0.6289999999999999,0.0,0.9566666666666667,0.15666666666666662,0.0,0.0,13,4.3
58,0.6259999999999999,0.0,0.9533333333333334,0.15333333333333332,0.0,0.0,14,4.7
59,0.6229999999999999,0.0,0.9533333333333334,0.15333333333333332,0.0,0.0,14,4.7
60,0.6199999999999999,0.0,0.9533333333333334,0.15333333333333332,0.0,0.0,14,4.7
61,0.6169999999999999,0.0,0.9533333333333334,0.15333333333333332,0.0,0.0,14,4.7
62,0.6139999999999999,0.0,0.9533333333333334,0.15333333333333332,0.0,0.0,14,4.7
63,0.6109999999999999,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
64,0.6079999999999999,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
65,0.6049999999999999,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
66,0.6019999999999999,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
67,0.5989999999999999,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
68,0.5959999999999999,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
69,0.5929999999999999,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
70,0.5899999999999999,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
71,0.5869999999999999,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
72,0.5839999999999999,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
73,0.5809999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
74,0.5779999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
75,0.5749999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
76,0.5719999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
77,0.5689999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
78,0.5659999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
79,0.5629999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
80,0.5599999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
81,0.5569999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
82,0.5539999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
83,0.5509999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
84,0.5479999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
85,0.5449999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
86,0.5419999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
87,0.5389999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
88,0.5359999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
89,0.5329999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
90,0.5299999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
91,0.5269999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
92,0.5239999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
93,0.5209999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
94,0.5179999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
95,0.5149999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
96,0.5119999999999998,0.0,0.95,0.1499999999999999,0.0,0.0,15,5.0
97,0.5089999999999998,0.0,0.9466666666666667,0.1466666666666666,0.0,0.0,16,5.3
98,0.5059999999999998,0.0,0.9466666666666667,0.1466666666666666,0.0,0.0,16,5.3
99,0.5029999999999998,0.0,0.9466666666666667,0.1466666666666666,0.0,0.0,16,5.3
100,0.4999999999999998,2.220446049250313e-16,0.9466666666666667,0.1466666666666666,0.0,0.0,16,5.3
101,0.4969999999999998,0.0030000000000002247,0.9466666666666667,0.1466666666666666,0.0,0.0,16,5.3
